,Restaurant Count,Average Rating,Average Cost for Two,Unique Cuisines
Chennai,2612,3.67,708.37,85
Mumbai,2538,3.8,1101.77,92
Bangalore,2365,3.73,811.6,86
Pune,1911,3.53,753.1,85
New Delhi,1847,3.77,1018.31,84
Jaipur,1456,3.47,716.22,57
Kolkata,1413,3.77,707.15,75
Aurangabad,1386,2.84,409.71,52
Ahmedabad,1329,3.27,506.63,61
Lucknow,1290,3.41,513.12,66
Nagpur,1102,3.01,434.82,56
Indore,1093,3.27,497.96,51
Kochi,1027,3.1,492.96,55
Coimbatore,1019,2.85,428.78,58
Vadodara,1002,3.3,400.89,57
Surat,1001,3.2,391.0,52
Ludhiana,992,3.11,470.47,48
Bhopal,971,2.92,407.96,58
Agra,892,2.75,522.9,48
Hyderabad,866,3.78,847.32,69
Kanpur,836,3.06,419.98,53
Raipur,833,2.85,368.58,45
Dehradun,805,2.86,448.91,58
Guwahati,784,3.17,518.32,58
Udaipur,775,2.76,566.89,48
Jodhpur,731,2.75,423.24,46
Amritsar,692,2.98,470.48,46
Ranchi,689,2.72,397.91,46
Patna,683,2.97,410.31,48
Chandigarh,681,3.5,670.97,53
Nashik,671,2.86,443.01,55
Gurgaon,663,3.87,1025.38,72
Jalandhar,643,2.95,395.18,50
Kota,622,2.96,295.93,41
Jamshedpur,615,2.51,306.57,61
Gwalior,606,2.79,336.29,48
Jabalpur,598,2.83,347.11,41
Varanasi,598,3.04,478.81,45
Rajkot,587,2.8,322.51,42
Mysore,585,3.06,436.87,46
Mangalore,584,3.05,418.3,53
Meerut,580,2.58,303.74,37
Madurai,578,2.97,313.41,47
Allahabad,567,2.77,359.77,39
Kolhapur,567,1.49,320.44,60
Jammu,549,2.77,364.22,43
Vijayawada,530,3.07,395.51,43
Gorakhpur,526,2.48,302.51,39
Patiala,505,2.95,344.53,34
Siliguri,483,2.3,383.08,44
Ajmer,470,2.79,319.74,44
Amravati,440,1.95,219.11,37
Jamnagar,425,2.15,198.68,36
Salem,418,2.21,320.45,45
Thrissur,405,2.19,357.65,40
Haridwar,401,2.09,324.66,37
Jhansi,371,2.95,248.22,35
Vellore,341,2.3,285.92,40
Guntur,319,3.08,344.64,36
Thane,300,3.53,637.68,55
Cuttack,293,2.84,346.08,38
Noida,273,3.65,759.82,58
Alappuzha,267,0.53,303.18,26
Navi Mumbai,256,3.55,752.38,53
Shimla,241,1.59,431.95,38
Junagadh,231,1.65,122.73,24
Panchkula,174,3.18,613.79,35
Gangtok,132,1.39,512.95,31
Srinagar,125,1.55,480.75,28
Kharagpur,116,1.13,260.34,25
Secunderabad,97,3.85,506.19,30
Gandhinagar,96,2.85,419.27,25
Ghaziabad,95,3.53,626.32,36
Faridabad,81,3.26,677.78,28
Udupi,61,2.24,352.3,21
Howrah,50,3.32,467.0,27
